domain,page,page_title,pageviews
www.muni.org,www.muni.org/pages/default.aspx,"Anchorage, Alaska: The Official Municipality of Anchorage, Alaska website",87184
www.muni.org,www.muni.org/departments/library/pages/default.aspx,Library,58844
www.muni.org,www.muni.org/departments/transit/peoplemover/pages/mapsandschedules.aspx,MapsAndSchedules,47126
www.muni.org,www.muni.org/departments/assembly/clerk/elections/pages/electionresults.aspx,Election Results,22612
www.muni.org,www.muni.org/departments/transit/peoplemover/pages/default.aspx,People Mover,19725
www.muni.org,www.muni.org/departments/assembly/clerk/elections/pages/default.aspx,Elections,19083
www.muni.org,www.muni.org/departments/finance/property_appraisal/pages/default.aspx,Property Appraisal,19070
www.muni.org,www.muni.org/departments/employee_relations/pages/jol.aspx,Jobs,16905
www.muni.org,www.muni.org/searchcenter/pages/results.aspx,Results,13762
www.muni.org,www.muni.org/departments/finance/treasury/proptax/pages/realestatepropertytaxes.aspx,Real Estate Property Taxes,13334
www.muni.org,www.muni.org/pages/propertyinformation.aspx,Property Information,13102
www.muni.org,www.muni.org/departments/police/pages/default.aspx,Anchorage Police Department,12140
www.muni.org,www.muni.org/departments/health/admin/animal_control/pages/adoptingapet.aspx,Adopting a Pet,10781
www.muni.org,www.muni.org/departments/health/admin/animal_control/pages/default.aspx,Animal Control,9593
www.muni.org,www.muni.org/departments/pages/default.aspx,MOA Departments Divisions and Offices,9590
www.muni.org,www.muni.org/departments/finance/treasury/proptax/pages/default.aspx,Property Taxes,8738
www.muni.org,www.muni.org/departments/assembly/clerk/elections/pages/voterinfo.aspx,Voter Information,8339
www.muni.org,www.muni.org/departments/transit/peoplemover/pages/route75.aspx,Route75,7388
www.muni.org,www.muni.org/departments/transit/peoplemover/pages/route7.aspx,Route7,7118
www.muni.org,www.muni.org/departments/transit/peoplemover/pages/route45.aspx,Route45,6704
www.muni.org,www.muni.org/departments/transit/peoplemover/pages/route3.aspx,Route 3,6687
www.muni.org,www.muni.org/departments/sws/pages/default.aspx,Solid Waste Services,6682
www.muni.org,www.muni.org/departments/purchasing/pages/bidding.aspx,Current Bidding Opportunities,6054
www.muni.org,www.muni.org/departments/library/pages/loussaclibrary.aspx,Z.J. Loussac Public Library,5658
www.muni.org,www.muni.org/departments/transit/peoplemover/pages/route2.aspx,Route2,5447
www.muni.org,www.muni.org/departments/finance/property_appraisal/pages/propinfo.aspx,Property Information Research,5047
www.muni.org,www.muni.org/departments/police/joinapd/pages/default.aspx,Join APD,4757
www.muni.org,www.muni.org/departments/parks/pages/default.aspx,Parks and Recreation,4700
www.muni.org,www.muni.org/departments/transit/pages/default.aspx,People Mover,4319
www.muni.org,www.muni.org/departments/transit/peoplemover/pages/route1.aspx,Route1,4295
www.muni.org,www.muni.org/departments/transit/peoplemover/pages/route15.aspx,Route 15,4248
www.muni.org,www.muni.org/departments/finance/property_appraisal/business/pages/default.aspx,Business Personal Property Appraisal,4246
www.muni.org,www.muni.org/departments/transit/peoplemover/pages/route8.aspx,Route 8,4167
www.muni.org,www.muni.org/departments/assembly/pages/default.aspx,Anchorage Assembly,4119
www.muni.org,www.muni.org/departments/fire/pages/default.aspx,Anchorage Fire Department,4028
www.muni.org,www.muni.org/departments/transit/peoplemover/pages/route9.aspx,Route 9,3739
www.muni.org,www.muni.org/departments/transit/peoplemover/pages/route60.aspx,Route60,3674
www.muni.org,www.muni.org/departments/police/forms/pages/default.aspx,"APD Reports, Forms & Programs",3490
www.muni.org,www.muni.org/departments/police/howdoi/pages/traffic related questions.aspx,Traffic - FAQ,3259
www.muni.org,www.muni.org/departments/transit/peoplemover/pages/route36.aspx,Route 36,3259
www.muni.org,www.muni.org/residents/pages/default.aspx,Residents,3253
www.muni.org,www.muni.org/departments/assembly/clerk/elections/pages/upcomingelections.aspx,Upcoming Elections,3195
www.muni.org,www.muni.org/departments/finance/property_appraisal/business/pages/efiling.aspx,Business Personal Property E-filing,3173
www.muni.org,www.muni.org/departments/parks/pages/westpool.aspx,West Pool,3151
www.muni.org,www.muni.org/contactus/pages/default.aspx,Employee Search,3116
www.muni.org,www.muni.org/departments/transit/peoplemover/pages/route13.aspx,Route 13,2976
www.muni.org,www.muni.org/departments/ocpd/development/bsd/pages/default.aspx,Building Safety,2961
www.muni.org,www.muni.org/departments/assembly/clerk/elections/pages/candidates.aspx,Candidates,2883
www.muni.org,www.muni.org/departments/sws/disposal/pages/centraltransferstation.aspx,Central Transfer Station,2786
www.muni.org,www.muni.org/departments/hlb/pages/resforeclosedproperties.aspx,Foreclosed Properties,2481
www.muni.org,www.muni.org/departments/police/forms/pages/onlinereportingsystem.aspx,Online Reporting System,2442
www.muni.org,www.muni.org/departments/ocpd/planning/pages/maps.aspx,Maps,2414
