date,browser,visits
2016-01-27,Chrome,4235
2016-01-27,Internet Explorer,2964
2016-01-27,Safari,2732
2016-01-27,Firefox,630
2016-01-27,Android Browser,170
2016-01-27,Edge,154
2016-01-27,Safari (in-app),43
2016-01-27,Amazon Silk,29
2016-01-27,Opera Mini,13
2016-01-27,Opera,11
2016-01-27,BlackBerry,5
2016-01-27,UC Browser,4
2016-01-27,IE with Chrome Frame,2
2016-01-27,DDG-Android-3.0.11,1
2016-01-27,Mozilla Compatible Agent,1
2016-01-27,YaBrowser,1
2016-01-28,Chrome,4086
2016-01-28,Internet Explorer,2769
2016-01-28,Safari,2667
2016-01-28,Firefox,600
2016-01-28,Edge,156
2016-01-28,Android Browser,130
2016-01-28,Amazon Silk,40
2016-01-28,Safari (in-app),23
2016-01-28,Opera,18
2016-01-28,Opera Mini,6
2016-01-28,UC Browser,5
2016-01-28,BlackBerry,3
2016-01-28,DDG-Android-3.0.11,1
2016-01-28,Maxthon,1
2016-01-28,Mozilla Compatible Agent,1
2016-01-28,Nintendo Browser,1
2016-01-28,Phantom Browser,1
2016-01-28,YaBrowser,1
2016-01-29,Chrome,3769
2016-01-29,Safari,2700
2016-01-29,Internet Explorer,2485
2016-01-29,Firefox,537
2016-01-29,Edge,174
2016-01-29,Android Browser,149
2016-01-29,Safari (in-app),46
2016-01-29,Amazon Silk,42
2016-01-29,Opera,19
2016-01-29,Opera Mini,8
2016-01-29,BlackBerry,7
2016-01-29,IE with Chrome Frame,4
2016-01-29,Mozilla Compatible Agent,3
2016-01-29,Maxthon,2
2016-01-29,UC Browser,2
2016-01-29,Lunascape,1
2016-01-30,Safari,2722
2016-01-30,Chrome,2621
2016-01-30,Internet Explorer,1350
2016-01-30,Firefox,328
2016-01-30,Android Browser,148
2016-01-30,Edge,126
2016-01-30,Amazon Silk,58
2016-01-30,Safari (in-app),32
2016-01-30,Opera,13
2016-01-30,BlackBerry,5
2016-01-30,UC Browser,4
2016-01-30,DDG-Android-3.0.11,3
2016-01-30,Mozilla Compatible Agent,3
2016-01-30,Opera Mini,3
2016-01-30,IE with Chrome Frame,2
2016-01-30,Nintendo Browser,2
2016-01-30,Iron,1
2016-01-30,MRCHROME,1
2016-01-30,YaBrowser,1
2016-01-31,Chrome,2482
2016-01-31,Safari,2325
2016-01-31,Internet Explorer,890
2016-01-31,Firefox,383
2016-01-31,Edge,156
2016-01-31,Android Browser,151
2016-01-31,Safari (in-app),84
2016-01-31,Amazon Silk,33
2016-01-31,Opera Mini,9
2016-01-31,Opera,8
2016-01-31,BlackBerry,7
2016-01-31,UC Browser,2
2016-01-31,Mozilla Compatible Agent,1
2016-01-31,Nintendo Browser,1
2016-02-01,Chrome,4236
2016-02-01,Internet Explorer,2719
2016-02-01,Safari,2702
2016-02-01,Firefox,606
2016-02-01,Android Browser,196
2016-02-01,Edge,166
2016-02-01,Safari (in-app),67
2016-02-01,Amazon Silk,23
2016-02-01,Opera,13
2016-02-01,Opera Mini,9
2016-02-01,BlackBerry,7
2016-02-01,UC Browser,6
2016-02-01,Mozilla Compatible Agent,2
2016-02-01,IE with Chrome Frame,1
2016-02-01,YaBrowser,1
2016-02-02,Chrome,4173
2016-02-02,Internet Explorer,2866
2016-02-02,Safari,2797
2016-02-02,Firefox,631
2016-02-02,Edge,189
2016-02-02,Android Browser,177
2016-02-02,Amazon Silk,35
2016-02-02,Safari (in-app),33
2016-02-02,Opera,16
2016-02-02,Opera Mini,8
2016-02-02,BlackBerry,3
2016-02-02,Maxthon,3
2016-02-02,Mozilla Compatible Agent,3
2016-02-02,UC Browser,3
2016-02-02,Coc Coc,1
2016-02-02,IE with Chrome Frame,1
2016-02-02,Nintendo Browser,1
2016-02-02,SeaMonkey,1
2016-02-02,YaBrowser,1
2016-02-03,Chrome,4056
2016-02-03,Internet Explorer,2965
2016-02-03,Safari,2516
2016-02-03,Firefox,627
2016-02-03,Edge,162
2016-02-03,Android Browser,149
2016-02-03,Amazon Silk,34
2016-02-03,Safari (in-app),27
2016-02-03,Opera,12
2016-02-03,Opera Mini,8
2016-02-03,BlackBerry,5
2016-02-03,UC Browser,4
2016-02-03,ALCATEL_A206G,3
2016-02-03,Mozilla Compatible Agent,3
2016-02-03,IE with Chrome Frame,2
2016-02-03,Coc Coc,1
2016-02-03,Maxthon,1
2016-02-03,Nintendo Browser,1
2016-02-04,Chrome,4081
2016-02-04,Internet Explorer,2902
2016-02-04,Safari,2602
2016-02-04,Firefox,592
2016-02-04,Android Browser,173
2016-02-04,Edge,162
2016-02-04,Amazon Silk,39
2016-02-04,Safari (in-app),37
2016-02-04,Opera,14
2016-02-04,UC Browser,5
2016-02-04,BlackBerry,3
2016-02-04,Mozilla Compatible Agent,2
2016-02-04,Opera Mini,2
2016-02-04,Nintendo Browser,1
2016-02-04,Phantom Browser,1
2016-02-05,Chrome,3636
2016-02-05,Safari,2652
2016-02-05,Internet Explorer,2478
2016-02-05,Firefox,506
2016-02-05,Android Browser,186
2016-02-05,Edge,144
2016-02-05,Safari (in-app),99
2016-02-05,Amazon Silk,34
2016-02-05,Opera,13
2016-02-05,Opera Mini,6
2016-02-05,BlackBerry,3
2016-02-05,UC Browser,2
2016-02-05,Dolfin,1
2016-02-05,IE with Chrome Frame,1
2016-02-05,Nintendo Browser,1
2016-02-06,Chrome,2628
2016-02-06,Safari,2459
2016-02-06,Internet Explorer,1330
2016-02-06,Firefox,357
2016-02-06,Android Browser,165
2016-02-06,Edge,140
2016-02-06,Safari (in-app),57
2016-02-06,Amazon Silk,51
2016-02-06,BlackBerry,5
2016-02-06,Mozilla Compatible Agent,5
2016-02-06,Opera,5
2016-02-06,Opera Mini,4
2016-02-06,UC Browser,2
2016-02-06,IE with Chrome Frame,1
2016-02-06,Phantom.js bot,1
2016-02-07,Chrome,2100
2016-02-07,Safari,1875
2016-02-07,Internet Explorer,688
2016-02-07,Firefox,281
2016-02-07,Android Browser,123
