date,device,visits
2016-01-27,desktop,7141
2016-01-27,mobile,3304
2016-01-27,tablet,550
2016-01-28,desktop,6713
2016-01-28,mobile,3251
2016-01-28,tablet,545
2016-01-29,desktop,6026
2016-01-29,mobile,3381
2016-01-29,tablet,541
2016-01-30,desktop,3486
2016-01-30,mobile,3348
2016-01-30,tablet,589
2016-01-31,desktop,3221
2016-01-31,mobile,2756
2016-01-31,tablet,555
2016-02-01,desktop,6864
2016-02-01,mobile,3320
2016-02-01,tablet,570
2016-02-02,desktop,7033
2016-02-02,mobile,3325
2016-02-02,tablet,584
2016-02-03,desktop,6953
2016-02-03,mobile,3090
2016-02-03,tablet,533
2016-02-04,desktop,6899
2016-02-04,mobile,3175
2016-02-04,tablet,542
2016-02-05,desktop,5883
2016-02-05,mobile,3304
2016-02-05,tablet,575
2016-02-06,desktop,3385
2016-02-06,mobile,3266
2016-02-06,tablet,559
2016-02-07,desktop,2475
2016-02-07,mobile,2339
2016-02-07,tablet,455
2016-02-08,desktop,6801
2016-02-08,mobile,3153
2016-02-08,tablet,520
2016-02-09,desktop,7099
2016-02-09,mobile,3214
2016-02-09,tablet,531
2016-02-10,desktop,6859
2016-02-10,mobile,3172
2016-02-10,tablet,537
2016-02-11,desktop,6678
2016-02-11,mobile,3197
2016-02-11,tablet,521
2016-02-12,desktop,5964
2016-02-12,mobile,3261
2016-02-12,tablet,506
2016-02-13,desktop,2930
2016-02-13,mobile,3113
2016-02-13,tablet,545
2016-02-14,desktop,2723
2016-02-14,mobile,2825
2016-02-14,tablet,476
2016-02-15,desktop,4451
2016-02-15,mobile,3426
2016-02-15,tablet,549
2016-02-16,desktop,7303
2016-02-16,mobile,3248
2016-02-16,tablet,544
2016-02-17,desktop,7109
2016-02-17,mobile,3315
2016-02-17,tablet,506
2016-02-18,desktop,6874
2016-02-18,mobile,3233
2016-02-18,tablet,530
2016-02-19,desktop,5974
2016-02-19,mobile,3355
2016-02-19,tablet,555
2016-02-20,desktop,3456
2016-02-20,mobile,3163
2016-02-20,tablet,550
2016-02-21,desktop,3114
2016-02-21,mobile,2821
2016-02-21,tablet,602
2016-02-22,desktop,6820
2016-02-22,mobile,3288
2016-02-22,tablet,529
