date,browser_version,visits
2016-01-27,11.0,2449
2016-01-27,7.0,164
2016-01-27,8.0,141
2016-01-27,10.0,120
2016-01-27,9.0,90
2016-01-28,11.0,2292
2016-01-28,8.0,148
2016-01-28,7.0,139
2016-01-28,10.0,101
2016-01-28,9.0,87
2016-01-28,6.0,2
2016-01-29,11.0,2032
2016-01-29,8.0,171
2016-01-29,7.0,130
2016-01-29,9.0,77
2016-01-29,10.0,74
2016-01-29,6.0,1
2016-01-30,11.0,1230
2016-01-30,8.0,62
2016-01-30,9.0,24
2016-01-30,10.0,23
2016-01-30,7.0,10
2016-01-30,6.0,1
2016-01-31,11.0,790
2016-01-31,8.0,41
2016-01-31,10.0,29
2016-01-31,9.0,18
2016-01-31,7.0,10
2016-01-31,6.0,2
2016-02-01,11.0,2243
2016-02-01,7.0,155
2016-02-01,8.0,141
2016-02-01,10.0,91
2016-02-01,9.0,89
2016-02-02,11.0,2374
2016-02-02,8.0,163
2016-02-02,7.0,137
2016-02-02,10.0,107
2016-02-02,9.0,85
2016-02-03,11.0,2458
2016-02-03,8.0,161
2016-02-03,7.0,154
2016-02-03,10.0,106
2016-02-03,9.0,86
2016-02-04,11.0,2454
2016-02-04,8.0,157
2016-02-04,7.0,132
2016-02-04,10.0,83
2016-02-04,9.0,73
2016-02-04,6.0,3
2016-02-05,11.0,2071
2016-02-05,7.0,140
2016-02-05,8.0,124
2016-02-05,9.0,74
2016-02-05,10.0,69
2016-02-06,11.0,1223
2016-02-06,8.0,46
2016-02-06,9.0,24
2016-02-06,10.0,23
2016-02-06,7.0,11
2016-02-06,6.0,3
2016-02-07,11.0,620
2016-02-07,8.0,29
2016-02-07,10.0,14
2016-02-07,9.0,13
2016-02-07,7.0,11
2016-02-07,6.0,1
2016-02-08,11.0,2338
2016-02-08,7.0,175
2016-02-08,8.0,114
2016-02-08,9.0,79
2016-02-08,10.0,72
2016-02-08,6.0,1
2016-02-09,11.0,2511
2016-02-09,8.0,173
2016-02-09,7.0,159
2016-02-09,9.0,76
2016-02-09,10.0,66
2016-02-09,6.0,1
2016-02-10,11.0,2394
2016-02-10,8.0,160
2016-02-10,7.0,129
2016-02-10,10.0,81
2016-02-10,9.0,59
2016-02-11,11.0,2397
2016-02-11,8.0,136
2016-02-11,7.0,117
2016-02-11,9.0,72
2016-02-11,10.0,70
2016-02-12,11.0,2103
2016-02-12,8.0,162
2016-02-12,7.0,144
2016-02-12,9.0,78
2016-02-12,10.0,67
2016-02-13,11.0,911
2016-02-13,8.0,35
2016-02-13,9.0,19
2016-02-13,10.0,18
2016-02-13,7.0,9
2016-02-14,11.0,753
2016-02-14,8.0,37
2016-02-14,9.0,18
2016-02-14,10.0,10
2016-02-14,7.0,6
2016-02-15,11.0,990
2016-02-15,9.0,52
2016-02-15,8.0,31
2016-02-15,10.0,30
2016-02-15,7.0,24
2016-02-15,6.0,1
2016-02-16,11.0,2676
2016-02-16,7.0,159
2016-02-16,8.0,152
2016-02-16,10.0,77
2016-02-16,9.0,71
2016-02-16,6.0,2
2016-02-17,11.0,2530
2016-02-17,7.0,159
2016-02-17,8.0,147
2016-02-17,10.0,77
2016-02-17,9.0,74
2016-02-17,9.11,1
2016-02-18,11.0,2465
2016-02-18,7.0,146
2016-02-18,8.0,143
2016-02-18,10.0,78
2016-02-18,9.0,48
2016-02-19,11.0,2200
2016-02-19,7.0,129
2016-02-19,8.0,117
2016-02-19,10.0,72
2016-02-19,9.0,51
2016-02-19,6.0,3
2016-02-20,11.0,1215
2016-02-20,8.0,39
2016-02-20,9.0,26
2016-02-20,10.0,19
2016-02-20,7.0,3
2016-02-20,6.0,2
2016-02-21,11.0,740
2016-02-21,8.0,29
2016-02-21,10.0,23
2016-02-21,9.0,19
2016-02-21,7.0,8
2016-02-22,11.0,2256
2016-02-22,7.0,151
2016-02-22,8.0,99
2016-02-22,10.0,77
2016-02-22,9.0,70
2016-02-22,6.0,1
2016-02-23,11.0,2498
2016-02-23,8.0,175
2016-02-23,7.0,164
2016-02-23,10.0,99
2016-02-23,9.0,66
2016-02-24,11.0,2526
2016-02-24,7.0,140
2016-02-24,8.0,126
2016-02-24,9.0,64
2016-02-24,10.0,55
2016-02-24,6.0,4
2016-02-25,11.0,2299
2016-02-25,7.0,148
2016-02-25,8.0,127
2016-02-25,10.0,76
2016-02-25,9.0,68
2016-02-25,6.0,1
2016-02-26,11.0,2101
2016-02-26,8.0,141
2016-02-26,7.0,132
2016-02-26,10.0,56
2016-02-26,9.0,56
2016-02-26,6.0,1
2016-02-27,11.0,1257
2016-02-27,8.0,49
2016-02-27,10.0,18
2016-02-27,9.0,17
2016-02-27,7.0,5
2016-02-27,6.0,1
2016-02-28,11.0,787
2016-02-28,9.0,24
2016-02-28,8.0,22
2016-02-28,10.0,14
2016-02-28,7.0,7
2016-02-28,6.0,2
2016-02-29,11.0,2319
2016-02-29,7.0,157
2016-02-29,8.0,107
2016-02-29,10.0,67
2016-02-29,9.0,61
2016-02-29,6.0,2
2016-03-01,11.0,2547
2016-03-01,7.0,162
2016-03-01,8.0,145
2016-03-01,10.0,75
2016-03-01,9.0,75
2016-03-01,6.0,2
2016-03-02,11.0,2374
2016-03-02,7.0,139
2016-03-02,8.0,136
2016-03-02,9.0,70
2016-03-02,10.0,66
2016-03-02,6.0,1
2016-03-03,11.0,2363
2016-03-03,7.0,138
2016-03-03,8.0,103
2016-03-03,9.0,59
2016-03-03,10.0,57
2016-03-03,6.0,1
2016-03-04,11.0,2117
2016-03-04,7.0,153
2016-03-04,8.0,114
2016-03-04,10.0,80
2016-03-04,9.0,52
2016-03-04,6.0,1
2016-03-05,11.0,1197
2016-03-05,8.0,52
2016-03-05,9.0,39
2016-03-05,10.0,18
2016-03-05,7.0,5
2016-03-06,11.0,735
2016-03-06,8.0,38
2016-03-06,9.0,21
2016-03-06,10.0,13
2016-03-06,7.0,6
2016-03-07,11.0,2429
2016-03-07,7.0,181
2016-03-07,8.0,94
2016-03-07,9.0,71
2016-03-07,10.0,66
2016-03-07,6.0,2
2016-03-08,11.0,2841
2016-03-08,7.0,194
2016-03-08,8.0,152
2016-03-08,9.0,85
2016-03-08,10.0,61
2016-03-08,6.0,1
2016-03-09,11.0,2442
2016-03-09,7.0,166
2016-03-09,8.0,129
2016-03-09,9.0,68
2016-03-09,10.0,67
2016-03-10,11.0,2422
2016-03-10,7.0,162
2016-03-10,8.0,132
2016-03-10,10.0,74
2016-03-10,9.0,58
2016-03-10,6.0,1
2016-03-11,11.0,2122
2016-03-11,7.0,163
2016-03-11,8.0,130
2016-03-11,10.0,70
2016-03-11,9.0,57
2016-03-12,11.0,1231
2016-03-12,8.0,60
2016-03-12,9.0,21
2016-03-12,10.0,16
2016-03-12,7.0,6
2016-03-13,11.0,693
2016-03-13,8.0,29
2016-03-13,9.0,21
2016-03-13,10.0,13
2016-03-13,7.0,6
2016-03-14,11.0,2302
2016-03-14,7.0,137
2016-03-14,8.0,103
2016-03-14,10.0,76
2016-03-14,9.0,60
2016-03-15,11.0,2576
2016-03-15,7.0,137
2016-03-15,8.0,110
2016-03-15,9.0,79
2016-03-15,10.0,74
2016-03-16,11.0,2625
2016-03-16,7.0,133
2016-03-16,8.0,126
2016-03-16,10.0,72
2016-03-16,9.0,61
2016-03-17,11.0,2557
2016-03-17,7.0,139
2016-03-17,8.0,121
2016-03-17,10.0,78
2016-03-17,9.0,54
2016-03-18,11.0,2138
2016-03-18,7.0,120
2016-03-18,8.0,94
2016-03-18,9.0,60
2016-03-18,10.0,49
2016-03-18,6.0,5
2016-03-19,11.0,1138
2016-03-19,8.0,53
2016-03-19,9.0,23
2016-03-19,10.0,20
2016-03-19,7.0,8
2016-03-19,6.0,2
2016-03-20,11.0,793
2016-03-20,8.0,27
2016-03-20,9.0,24
2016-03-20,10.0,22
2016-03-20,7.0,11
2016-03-20,6.0,1
2016-03-21,11.0,2426
2016-03-21,7.0,158
2016-03-21,9.0,71
2016-03-21,10.0,68
2016-03-21,8.0,63
2016-03-21,999.1,1
2016-03-22,11.0,2635
2016-03-22,7.0,138
2016-03-22,8.0,90
2016-03-22,10.0,76
2016-03-22,9.0,75
2016-03-22,9.10,1
2016-03-23,11.0,2524
2016-03-23,7.0,143
2016-03-23,10.0,74
2016-03-23,8.0,67
2016-03-23,9.0,61
2016-03-24,11.0,2398
2016-03-24,7.0,140
2016-03-24,10.0,66
2016-03-24,8.0,58
2016-03-24,9.0,40
2016-03-25,11.0,2089
2016-03-25,7.0,110
2016-03-25,8.0,71
2016-03-25,10.0,58
2016-03-25,9.0,46
2016-03-26,11.0,942
2016-03-26,10.0,22
2016-03-26,8.0,20
2016-03-26,9.0,18
2016-03-26,7.0,4
2016-03-26,6.0,1
2016-03-27,11.0,620
2016-03-27,8.0,19
2016-03-27,10.0,17
2016-03-27,9.0,12
2016-03-27,7.0,4
2016-03-28,11.0,1364
2016-03-28,10.0,66
2016-03-28,9.0,45
2016-03-28,8.0,37
2016-03-28,7.0,30
2016-03-28,6.0,2
2016-03-29,11.0,2690
2016-03-29,7.0,135
2016-03-29,10.0,92
2016-03-29,8.0,69
2016-03-29,9.0,56
2016-03-30,11.0,2696
2016-03-30,7.0,154
2016-03-30,8.0,74
2016-03-30,9.0,55
2016-03-30,10.0,53
2016-03-31,11.0,2616
2016-03-31,7.0,158
2016-03-31,8.0,73
2016-03-31,10.0,57
