date,os,visits
2016-01-27,(not set),9
2016-01-27,Android,1434
2016-01-27,BlackBerry,5
2016-01-27,Chrome OS,99
2016-01-27,Linux,34
2016-01-27,Macintosh,1100
2016-01-27,Windows,5987
2016-01-27,Windows Phone,54
2016-01-27,Xbox,4
2016-01-27,iOS,2269
2016-01-28,(not set),8
2016-01-28,Android,1435
2016-01-28,BlackBerry,3
2016-01-28,Chrome OS,102
2016-01-28,Google TV,1
2016-01-28,Linux,38
2016-01-28,Macintosh,1012
2016-01-28,Windows,5658
2016-01-28,Windows Phone,79
2016-01-28,Xbox,3
2016-01-28,iOS,2170
2016-01-29,(not set),7
2016-01-29,Android,1519
2016-01-29,BlackBerry,8
2016-01-29,Chrome OS,84
2016-01-29,Google TV,1
2016-01-29,Linux,36
2016-01-29,Macintosh,958
2016-01-29,Windows,5027
2016-01-29,Windows Phone,84
2016-01-29,Xbox,1
2016-01-29,iOS,2223
2016-01-30,(not set),7
2016-01-30,Android,1468
2016-01-30,BlackBerry,5
2016-01-30,Chrome OS,43
2016-01-30,Linux,31
2016-01-30,Macintosh,768
2016-01-30,Windows,2706
2016-01-30,Windows Phone,72
2016-01-30,Xbox,1
2016-01-30,iOS,2322
2016-01-31,(not set),5
2016-01-31,Android,1222
2016-01-31,BlackBerry,7
2016-01-31,Chrome OS,45
2016-01-31,Linux,23
2016-01-31,Macintosh,898
2016-01-31,Windows,2332
2016-01-31,Windows Phone,44
2016-01-31,Xbox,1
2016-01-31,iOS,1955
2016-02-01,(not set),4
2016-02-01,Android,1508
2016-02-01,BlackBerry,7
2016-02-01,Chrome OS,102
2016-02-01,Linux,38
2016-02-01,Macintosh,1177
2016-02-01,Windows,5672
2016-02-01,Windows Phone,59
2016-02-01,Xbox,1
2016-02-01,iOS,2186
2016-02-02,(not set),5
2016-02-02,Android,1511
2016-02-02,BlackBerry,4
2016-02-02,Chrome OS,98
2016-02-02,Linux,34
2016-02-02,Macintosh,1150
2016-02-02,Windows,5835
2016-02-02,Windows Phone,60
2016-02-02,Xbox,3
2016-02-02,iOS,2242
2016-02-03,(not set),8
2016-02-03,Android,1410
2016-02-03,BlackBerry,6
2016-02-03,Chrome OS,93
2016-02-03,Linux,39
2016-02-03,Macintosh,1122
2016-02-03,Windows,5816
2016-02-03,Windows Phone,75
2016-02-03,iOS,2007
2016-02-04,(not set),1
2016-02-04,Android,1438
2016-02-04,BlackBerry,3
2016-02-04,Chrome OS,114
2016-02-04,Google TV,1
2016-02-04,Linux,24
2016-02-04,Macintosh,1081
2016-02-04,Windows,5786
2016-02-04,Windows Phone,57
2016-02-04,Xbox,1
2016-02-04,iOS,2110
2016-02-05,(not set),4
2016-02-05,Android,1447
2016-02-05,Bada,1
2016-02-05,BlackBerry,4
2016-02-05,Chrome OS,91
2016-02-05,Linux,31
2016-02-05,Macintosh,932
2016-02-05,Windows,4903
2016-02-05,Windows Phone,88
2016-02-05,Xbox,3
2016-02-05,iOS,2258
2016-02-06,(not set),6
2016-02-06,Android,1516
2016-02-06,BlackBerry,6
2016-02-06,Chrome OS,40
2016-02-06,Linux,29
2016-02-06,Macintosh,734
2016-02-06,Windows,2656
2016-02-06,Windows Phone,71
2016-02-06,Xbox,2
2016-02-06,iOS,2150
2016-02-07,(not set),5
2016-02-07,Android,1116
2016-02-07,BlackBerry,1
2016-02-07,Chrome OS,31
2016-02-07,Linux,16
2016-02-07,Macintosh,705
2016-02-07,Windows,1787
2016-02-07,Windows Phone,29
2016-02-07,iOS,1579
2016-02-08,(not set),5
2016-02-08,Android,1436
2016-02-08,BlackBerry,5
2016-02-08,Chrome OS,81
2016-02-08,Linux,34
2016-02-08,Macintosh,1084
2016-02-08,Windows,5724
2016-02-08,Windows Phone,68
2016-02-08,iOS,2037
2016-02-09,(not set),8
2016-02-09,Android,1447
2016-02-09,BlackBerry,6
2016-02-09,Chrome OS,90
2016-02-09,Linux,43
2016-02-09,Macintosh,1044
2016-02-09,Windows,6037
2016-02-09,Windows Phone,71
2016-02-09,Xbox,1
2016-02-09,iOS,2097
2016-02-10,(not set),1
2016-02-10,Android,1384
2016-02-10,BlackBerry,8
2016-02-10,Chrome OS,80
2016-02-10,Linux,32
2016-02-10,Macintosh,1075
2016-02-10,Windows,5770
2016-02-10,Windows Phone,69
2016-02-10,Xbox,1
2016-02-10,iOS,2148
2016-02-11,(not set),3
2016-02-11,Android,1494
2016-02-11,BlackBerry,11
2016-02-11,Chrome OS,92
2016-02-11,Linux,70
2016-02-11,Macintosh,1019
2016-02-11,Playstation 3,2
2016-02-11,Playstation Vita,1
2016-02-11,Windows,5575
2016-02-11,Windows Phone,54
2016-02-11,iOS,2075
2016-02-12,(not set),6
2016-02-12,Android,1430
