domain,page,page_title,pageviews
www.muni.org,www.muni.org/pages/default.aspx,"Anchorage, Alaska: The Official Municipality of Anchorage, Alaska website",957588
www.muni.org,www.muni.org/departments/library/pages/default.aspx,Library,730633
www.muni.org,www.muni.org/Departments/transit/PeopleMover/Pages/MapsandSchedules.aspx,MapsAndSchedules,335941
www.muni.org,www.muni.org/departments/transit/peoplemover/pages/mapsandschedules.aspx,MapsAndSchedules,238226
www.muni.org,www.muni.org/departments/transit/peoplemover/Pages/default.aspx,People Mover,159805
www.muni.org,www.muni.org/departments/finance/property_appraisal/pages/default.aspx,Property Appraisal,155676
www.muni.org,www.muni.org/departments/employee_relations/pages/jol.aspx,Jobs,123739
www.muni.org,www.muni.org/departments/health/admin/animal_control/pages/default.aspx,Animal Control,115652
www.muni.org,www.muni.org/departments/police/pages/default.aspx,Police,103003
www.muni.org,www.muni.org/Departments/finance/treasury/PropTax/Pages/RealEstatePropertyTaxes.aspx,Real Estate Property Taxes,98007
www.muni.org,www.muni.org/departments/transit/peoplemover/pages/default.aspx,People Mover,97317
www.muni.org,www.muni.org/Pages/default.aspx,"Anchorage, Alaska: The Official Municipality of Anchorage, Alaska website",84575
www.muni.org,www.muni.org/Pages/PropertyInformation.aspx,Property Information,83502
www.muni.org,www.muni.org/Departments/health/Admin/animal_control/Pages/AdoptingaPet.aspx,Adopting a Pet,77746
www.muni.org,www.muni.org/departments/Pages/default.aspx,Home,77518
www.muni.org,www.muni.org/Departments/employee_relations/Pages/jol.aspx,Jobs,72217
www.muni.org,www.muni.org/departments/sws/pages/default.aspx,Solid Waste Services,66517
www.muni.org,www.muni.org/departments/health/admin/animal_control/pages/adoptingapet.aspx,Adopting a Pet,66233
www.muni.org,www.muni.org/departments/library/pages/loussaclibrary.aspx,Z.J. Loussac Public Library,64442
www.muni.org,www.muni.org/searchcenter/pages/results.aspx,Results,59745
www.muni.org,www.muni.org/departments/finance/treasury/proptax/pages/realestatepropertytaxes.aspx,Real Estate Property Taxes,59340
www.muni.org,www.muni.org/departments/transit/pages/default.aspx,People Mover,58295
www.muni.org,www.muni.org/Departments/finance/treasury/PropTax/Pages/default.aspx,Default,53043
www.muni.org,www.muni.org/pages/propertyinformation.aspx,Property Information,50350
www.muni.org,www.muni.org/Departments/finance/property_appraisal/Pages/Default.aspx,Property Appraisal,50187
