page,page_title,active_visitors
www.muni.org/departments/library/pages/default.aspx,Library,22
www.muni.org/pages/default.aspx,"Anchorage, Alaska: The Official Municipality of Anchorage, Alaska website",14
www.muni.org/departments/transit/peoplemover/pages/mapsandschedules.aspx,MapsAndSchedules,7
www.muni.org/departments/finance/property_appraisal/pages/default.aspx,Property Appraisal,6
www.muni.org/departments/employee_relations/pages/jol.aspx,Jobs,4
www.muni.org/departments/purchasing/pages/bidding.aspx,Current Bidding Opportunities,3
www.muni.org/departments/fire/prevention/pages/default.aspx,Fire Prevention,2
www.muni.org/departments/mayor/pages/default.aspx,"Mayor's Corner",2
www.muni.org/departments/ocpd/planning/projects/anchlanduse/pages/default.aspx,Anchorage Bowl Land Use Plan Map Project,2
www.muni.org/departments/parks/pages/bartlettpool.aspx,Bartlett Pool,2
www.muni.org/departments/police/pages/contactinfo.aspx,Contact Information,2
www.muni.org/departments/sws/howdoi/pages/recycle.aspx,How Do I Recycle These Items?,2
www.muni.org/departments/transit/peoplemover/pages/default.aspx,People Mover,2
www.muni.org/departments/transit/peoplemover/pages/route3.aspx,Route 3,2
www.muni.org/departments/transit/peoplemover/pages/route7.aspx,Route7,2
www.muni.org/contactus/pages/default.aspx,Employee Search,1
www.muni.org/departments/assembly/events/pages/090309asd.aspx,Step Up Open House,1
www.muni.org/departments/assembly/pages/default.aspx,Anchorage Assembly,1
www.muni.org/departments/finance/property_appraisal/exemption/pages/default.aspx,Property Appraisal Exemptions,1
www.muni.org/departments/finance/treasury/proptax/pages/businesspropertytax.aspx,Business Property Tax,1
www.muni.org/departments/finance/treasury/proptax/pages/realestatepropertytaxes.aspx,Real Estate Property Taxes,1
www.muni.org/departments/fire/pages/default.aspx,Anchorage Fire Department,1
www.muni.org/departments/fire/pages/faq.aspx,FAQ,1
www.muni.org/departments/fire/wildfire/pages/woodlots.aspx,Wood Lots,1
www.muni.org/departments/health/admin/animal_control/pages/barkingdogs.aspx,BarkingDogs,1
