date,os_version,visits
2016-01-27,10,738
2016-01-27,7,4328
2016-01-27,8,36
2016-01-27,8.1,471
2016-01-27,NT,1
2016-01-27,Server 2003,1
2016-01-27,Vista,87
2016-01-27,XP,325
2016-01-28,10,752
2016-01-28,7,4024
2016-01-28,8,33
2016-01-28,8.1,417
2016-01-28,Server 2003,1
2016-01-28,Vista,82
2016-01-28,XP,349
2016-01-29,10,685
2016-01-29,7,3547
2016-01-29,8,22
2016-01-29,8.1,370
2016-01-29,Server 2003,1
2016-01-29,Vista,67
2016-01-29,XP,335
2016-01-30,10,565
2016-01-30,7,1631
2016-01-30,8,26
2016-01-30,8.1,291
2016-01-30,Vista,68
2016-01-30,XP,125
2016-01-31,(not set),1
2016-01-31,10,653
2016-01-31,7,1198
2016-01-31,8,22
2016-01-31,8.1,287
2016-01-31,Vista,72
2016-01-31,XP,99
2016-02-01,10,781
2016-02-01,7,3966
2016-02-01,8,40
2016-02-01,8.1,509
2016-02-01,Server 2003,2
2016-02-01,Vista,84
2016-02-01,XP,290
2016-02-02,10,806
2016-02-02,7,4106
2016-02-02,8,33
2016-02-02,8.1,460
2016-02-02,Server 2003,2
2016-02-02,Vista,78
2016-02-02,XP,350
2016-02-03,10,762
2016-02-03,7,4112
2016-02-03,8,45
2016-02-03,8.1,507
2016-02-03,Vista,75
2016-02-03,XP,315
2016-02-04,10,729
2016-02-04,7,4149
2016-02-04,8,27
2016-02-04,8.1,462
2016-02-04,Vista,87
2016-02-04,XP,332
2016-02-05,10,638
2016-02-05,7,3478
2016-02-05,8,35
2016-02-05,8.1,423
2016-02-05,Server 2003,1
2016-02-05,Vista,77
2016-02-05,XP,251
2016-02-06,(not set),1
2016-02-06,10,547
2016-02-06,7,1652
2016-02-06,8,12
2016-02-06,8.1,288
2016-02-06,Vista,55
2016-02-06,XP,101
2016-02-07,10,453
2016-02-07,7,917
2016-02-07,8,32
2016-02-07,8.1,279
2016-02-07,Vista,38
2016-02-07,XP,68
2016-02-08,10,788
2016-02-08,7,4100
2016-02-08,8,31
2016-02-08,8.1,467
2016-02-08,NT,1
2016-02-08,Server 2003,2
2016-02-08,Vista,81
2016-02-08,XP,254
2016-02-09,10,837
2016-02-09,2000,1
2016-02-09,7,4261
2016-02-09,8,31
2016-02-09,8.1,489
2016-02-09,Server 2003,1
2016-02-09,Vista,72
2016-02-09,XP,345
2016-02-10,(not set),1
2016-02-10,10,767
2016-02-10,7,4065
2016-02-10,8,32
